GENEID,N1,N2,N3,R1,R2,R3,R4,R5
375057,5.5007,8.8085,8.9457,2,2,2,2,2
158471,8.6089,10.7874,10.7073,3.6254,3.6462,4.437,4.6263,4.2956
401145,7.2767,5.3343,5.5254,11.8167,11.8332,12.1284,12.1608,12.1529
138724,2.73,3.1193,2,8.4038,8.4606,8.7267,8.8519,8.8016
51237,9.2547,9.8723,9.7853,4.5735,4.7778,2.5064,3.0874,3.8506
7544,6.7849,7.9938,7.7833,2,3.3772,10.173,10.1291,10.1287
440345,4.3706,4.7787,4.9277,10.7192,10.5816,10.8689,10.8024,10.6748
440345,4.3706,4.7787,4.9277,10.7192,10.5816,10.8689,10.8024,10.6748
26577,4.6483,9.0637,9.0507,2,2,2.8805,2,2
1465,10.8264,14.3233,14.3194,7.3807,7.3833,7.8363,7.5234,7.3486
391267,2.2864,2,2,9.1178,9.2014,7.2239,7.0021,6.8803
100505573,7.8656,8.3191,8.3275,2,2.847,2,2,2
79574,4.2426,4.5084,4.4611,5.0974,4.9367,10.6379,10.7069,10.613
100033414,2,2.3708,2,8.1887,8.1877,7.7986,8.0643,8.4323
80332,7.871,10.652,10.6393,3.8506,3.8729,4.1256,3.3645,4.7327
619505,2.2864,2.3708,2.6788,8.2193,8.0668,8.629,8.6339,8.635
100033418,2,2,2,7.9419,7.6816,8.0933,8.025,8.2549
100271836,4.698,4.8969,3.7669,10.2123,10.1992,10.5852,10.5897,10.5144
3671,8.0774,9.3443,9.4383,2.6053,2.6159,3.4233,3.7003,2.9021
3671,8.0774,9.3443,9.4383,2.6053,2.6159,3.4233,3.7003,2.9021
83643,8.3694,9.5205,9.485,3.3584,3.8729,2.8805,3.4853,2.5204
100499177,8.2244,8.2652,8.4565,2,3.2212,2.5064,2,2.2836
3503,11.5848,11.1382,11.289,7.1565,7.2684,4.6453,3.8874,6.0564
117177,7.1925,5.493,6.1312,8.5949,8.5329,12.775,12.8065,12.775
8336,2.5252,2,2.6788,8.6218,8.2496,8.3859,8.2335,8.1352
8336,2.5252,2,2.6788,8.6218,8.2496,8.3859,8.2335,8.1352
3105,11.6287,3.1193,2.6788,9.393,9.2876,6.8028,7.0421,6.8909
401093,6.1446,9.0669,9.1178,2,3.0462,2.5064,2.2928,2.5204
441459,3.8618,3.3019,3.4867,8.8508,9.0531,9.7356,9.7112,9.8313
780853,2,2,2.379,7.7595,7.4016,7.8416,8.3613,8.6256
4540,14.9236,14.0177,14.0137,8.1254,8.3566,8.5695,8.5112,8.5902
4540,14.9236,14.0177,14.0137,8.1254,8.3566,8.5695,8.5112,8.5902
4225,2,2,2,9.037,9.1265,6.5672,6.4981,6.56
100033431,2.5252,2.9102,2,8.767,8.759,8.1669,8.1673,7.861
56265,8.6442,11.0324,11.1241,4.6353,5.1246,4.9888,4.3362,3.8506
9699,4.746,5.1078,5.3237,10.3396,10.3633,11.2867,11.2822,11.2822
4692,7.517,8.7429,8.663,3.0304,2,2.5064,2,2.9021
389558,5.4142,8.5168,8.7899,2,2,2,2,2
220906,7.8764,8.3506,8.2781,2.3342,2,2.2753,2.2928,2.5204
28793,9.3855,10.7584,10.732,5.5143,5.9176,3.9794,4.1292,3.6654
442454,2.2864,2.3708,2,7.9419,7.7757,8.237,8.3613,8.1617
730087,3.9465,2.3708,2,6.6427,6.7457,9.1526,9.2561,9.2141
28796,9.4647,11.8681,11.8544,6.8394,7.2382,4.5959,5.0745,4.5839
2878,8.7627,10.9067,10.7482,4.6353,4.5343,3.9794,4.2704,4.5839
